employee_id,name,skills,experience_years,past_performance,availability,preferences
E000,Employee 0,"['JavaScript', 'UI/UX Design', 'React', 'Java', 'Data Analysis', 'Machine Learning']",1.1661973123862963,-0.6207652652850479,0.441461259160855,"['Machine Learning', 'NLP']"
E001,Employee 1,"['Node.js', 'Python', 'Cloud Computing', 'Java', 'Deep Learning', 'JavaScript']",0.41219042937791517,-0.32445726276235215,-1.6860628813733836,"['Python', 'NLP', 'Project Management']"
E002,Employee 2,"['Deep Learning', 'NLP', 'JavaScript', 'Cloud Computing', 'Java', 'UI/UX Design']",-0.5931520812999264,0.19408174165236694,0.30849100037746496,"['Machine Learning', 'Java', 'Deep Learning', 'Node.js']"
E003,Employee 3,"['DevOps', 'Machine Learning', 'SQL', 'Python', 'Node.js']",0.6635260570473756,-0.17630326150100384,-1.6528203166775361,"['JavaScript', 'SQL', 'Project Management', 'UI/UX Design']"
E004,Employee 4,"['Deep Learning', 'Cloud Computing', 'SQL', 'UI/UX Design', 'DevOps', 'React', 'Machine Learning', 'JavaScript']",1.1661973123862963,1.1570827498511302,0.27524843568161744,"['Python', 'Java']"
E005,Employee 5,"['Cloud Computing', 'Data Analysis', 'React', 'Project Management', 'Deep Learning', 'Node.js', 'UI/UX Design', 'JavaScript']",-0.8444877089693867,0.6385437454364111,-0.7885136345855017,"['Java', 'JavaScript']"
E006,Employee 6,"['Python', 'Cloud Computing', 'SQL', 'Node.js']",0.9148616847168359,0.19408174165236694,-0.6223008111062643,"['Deep Learning', 'Data Analysis']"
E007,Employee 7,"['Cloud Computing', 'DevOps', 'JavaScript', 'Deep Learning', 'Project Management', 'NLP', 'Machine Learning']",0.1608548017084548,-0.8429962671770704,1.4719807647321266,"['Data Analysis', 'Project Management', 'JavaScript']"
E008,Employee 8,"['React', 'Machine Learning', 'Python', 'Data Analysis', 'SQL', 'Cloud Computing', 'Java', 'Node.js']",0.6635260570473756,1.6756217542658485,0.9400997295985672,"['Machine Learning', 'JavaScript', 'SQL', 'NLP']"
E009,Employee 9,"['SQL', 'DevOps', 'Java', 'React', 'JavaScript', 'UI/UX Design', 'Project Management']",-1.8498302196472283,1.3052367511124785,0.10903561220238027,"['UI/UX Design', 'JavaScript', 'Deep Learning']"
E010,Employee 10,"['Data Analysis', 'SQL', 'Java', 'UI/UX Design', 'Machine Learning']",1.1661973123862963,0.6385437454364111,-1.154181846239824,"['SQL', 'Data Analysis', 'Java']"
E011,Employee 11,"['Node.js', 'JavaScript', 'Machine Learning', 'Java']",-0.341816453630466,0.5644667448057369,0.7074017767276347,"['NLP', 'Java', 'SQL', 'React']"
E012,Employee 12,"['Machine Learning', 'SQL', 'Data Analysis', 'Deep Learning', 'JavaScript', 'DevOps', 'Node.js']",1.1661973123862963,1.453390752373826,0.6076740826400922,"['NLP', 'DevOps', 'React', 'Node.js']"
E013,Employee 13,"['Data Analysis', 'Machine Learning', 'SQL', 'NLP', 'Node.js', 'Python', 'JavaScript']",-1.095823336638847,-1.509689272853137,0.009307918114837745,"['Data Analysis', 'Node.js', 'SQL']"
E014,Employee 14,"['JavaScript', 'UI/UX Design', 'Machine Learning', 'Project Management', 'Deep Learning', 'Python', 'Node.js', 'NLP']",0.41219042937791517,0.1200047410216928,0.37497612976915995,"['React', 'JavaScript', 'UI/UX Design']"
E015,Employee 15,"['SQL', 'DevOps', 'JavaScript', 'Java']",0.9148616847168359,0.3422357429137153,-1.3203946697190614,"['Node.js', 'Cloud Computing']"
E016,Employee 16,"['JavaScript', 'Cloud Computing', 'DevOps', 'Deep Learning', 'SQL']",-0.8444877089693867,0.7866977466977594,-0.7552710698896542,"['Data Analysis', 'Deep Learning']"
E017,Employee 17,"['Java', 'Data Analysis', 'Node.js', 'Project Management', 'React']",-0.341816453630466,1.5274677530045002,-0.22339003475609462,"['Machine Learning', 'DevOps', 'NLP', 'UI/UX Design']"
E018,Employee 18,"['SQL', 'Deep Learning', 'Machine Learning', 'Java', 'Node.js', 'NLP']",-1.3471589643083075,-1.509689272853137,0.8403720355110247,"['Cloud Computing', 'UI/UX Design']"
E019,Employee 19,"['Machine Learning', 'Python', 'Node.js', 'UI/UX Design', 'Data Analysis', 'NLP']",1.668868567725217,-0.9170732678077446,-1.021211587456434,"['DevOps', 'SQL']"
E020,Employee 20,"['Deep Learning', 'Java', 'NLP', 'DevOps', 'React', 'Python', 'Data Analysis']",0.9148616847168359,-1.065227269069093,-1.6528203166775361,"['SQL', 'DevOps', 'Node.js']"
E021,Employee 21,"['Deep Learning', 'SQL', 'Data Analysis', 'Cloud Computing', 'React', 'JavaScript', 'DevOps', 'Machine Learning']",-1.095823336638847,0.9348517479591077,1.2060402471653469,"['Python', 'React', 'Deep Learning', 'NLP']"
E022,Employee 22,"['Node.js', 'Python', 'NLP', 'JavaScript', 'UI/UX Design', 'Cloud Computing', 'Project Management', 'Deep Learning']",0.1608548017084548,0.045927740391018636,0.9400997295985672,"['React', 'Machine Learning']"
